track_id,frame_idx,class_id,label,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,rep_image_x,rep_image_y,world_x,world_y,raw_speed_kmh,smoothed_speed_kmh,affine_corrected_speed_kmh
1,14,3,Car,0.8175997734069824,360.2275695800781,281.6246337890625,441.0523681640625,319.58831787109375,400.63995361328125,319.58831787109375,2.6042320728302,-22.66299819946289,0.3996417671442032,0.44723455533385276,5.509688479847278
1,15,3,Car,0.819226086139679,360.27508544921875,281.61431884765625,441.0167236328125,319.5291442871094,400.6459045410156,319.5291442871094,2.598203420639038,-22.662494659423828,0.43557441607117653,0.4219565190374851,5.500193417463455
1,16,3,Car,0.8126187324523926,360.2511901855469,281.5932312011719,441.0493469238281,319.52069091796875,400.6502685546875,319.52069091796875,2.5973098278045654,-22.661897659301758,0.07737629860639572,0.33763979002833366,5.468521946129393
1,17,3,Car,0.7993371486663818,360.1748962402344,281.5472412109375,441.0990905761719,319.5259094238281,400.6369934082031,319.5259094238281,2.597959280014038,-22.663850784301758,0.14819561876356602,0.2630458172410727,5.440502585101178
1,18,3,Car,0.8072490692138672,360.0859375,281.5189208984375,441.086669921875,319.5279541015625,400.5863037109375,319.5279541015625,2.598634719848633,-22.671430587768555,0.5479083806276321,0.32173929624259473,5.462549323151125
1,19,3,Car,0.8102877736091614,360.119384765625,281.5268249511719,441.10076904296875,319.5248718261719,400.6100769042969,319.5248718261719,2.5981035232543945,-22.667890548706055,0.2577363308519125,0.29335820898413656,5.451888677249666
1,20,3,Car,0.814828097820282,360.1246337890625,281.541748046875,441.100341796875,319.5341491699219,400.61248779296875,319.5341491699219,2.599017858505249,-22.66746711730957,0.0725488169118762,0.2207530891522765,5.424616379112823
1,21,3,Car,0.8047206997871399,360.07855224609375,281.5096435546875,441.1546936035156,319.54962158203125,400.61663818359375,319.54962158203125,2.600541353225708,-22.666744232177734,0.12141341809183359,0.2295605130493641,5.4279246677141675
1,22,3,Car,0.8076221346855164,360.1629943847656,281.5232849121094,441.16473388671875,319.51904296875,400.66387939453125,319.51904296875,2.597017526626587,-22.659868240356445,0.5562978275120258,0.31118095479905605,5.458583346146395
1,23,3,Car,0.8078864216804504,360.1681823730469,281.5461730957031,441.1914978027344,319.53826904296875,400.6798400878906,319.53826904296875,2.5988106727600098,-22.657352447509766,0.22243906371295452,0.24608709141612053,5.43413246371318
1,24,3,Car,0.8220335841178894,360.24737548828125,281.52850341796875,441.21826171875,319.5019226074219,400.7328186035156,319.5019226074219,2.594651937484741,-22.649656295776367,0.6298491284251213,0.3205096509307623,5.462087437630867
1,25,3,Car,0.8242151737213135,360.3068542480469,281.5537414550781,441.1685791015625,319.4760437011719,400.73773193359375,319.4760437011719,2.591994524002075,-22.649089813232422,0.19563274830579758,0.34512643720954655,5.471334117976836
1,26,3,Car,0.828819751739502,360.3457946777344,281.5729064941406,441.13134765625,319.4598693847656,400.73858642578125,319.4598693847656,2.5903539657592773,-22.649066925048828,0.11813168507069349,0.3444700906053185,5.4710875777836225
1,27,3,Car,0.826805830001831,360.3631286621094,281.5684509277344,441.1588439941406,319.45831298828125,400.760986328125,319.45831298828125,2.5899899005889893,-22.645723342895508,0.24216079339385033,0.28164268378168344,5.447488033095494
